Collection ID	10824
Type	SpectraCollection
Description	48,DSFu,Rat,Urine (1)
Processing log	Standardized ppm range to 11.6:0.0007:-2.0. Set reference [0.030000,-0.030000]. Fix baseline (lambda: 200.000000). Cropped ranges: 9.8,0.14. Zeroed ranges: 6.01,5.54;5.0,4.72;4.01,3.92;3.86,3.82. Sum normalized to 1000.0.  Extracted residual after subtracting peaks for:  U6.837 (13), U6.824 (14).
Base sample ID	20531	20540	20541	20553	20637	20673	20707	20748	20792	20822	20834	20835
Time	48	48	48	48	48	48	48	48	48	48	48	48
Classification	DSFu	DSFu	DSFu	DSFu	DSFu	DSFu	DSFu	DSFu	DSFu	DSFu	DSFu	DSFu
Sample ID	Urine	Urine	Urine	Urine	Urine	Urine	Urine	Urine	Urine	Urine	Urine	Urine
Subject ID	5	6	3	1	2	4	25	29	28	26	30	27
Sample Description												
Weight												
Units of weight												
Species	Rat	Rat	Rat	Rat	Rat	Rat	Rat	Rat	Rat	Rat	Rat	Rat
X	Y1	Y2	Y3	Y4	Y5	Y6	Y7	Y8	Y9	Y10	Y11	Y12
9.705100	-0.000472	-0.001119	-0.000242	0.000466	0.000276	0.000591	0.000382	0.000485	0.000734	-0.001145	0.000036	-0.000388
9.704400	-0.000072	-0.000398	-0.001345	-0.000366	0.000549	-0.000270	-0.000023	0.000229	0.001248	-0.000696	-0.000603	0.000077
9.703700	0.000311	0.001401	-0.001014	0.000138	-0.000236	-0.000084	0.000714	-0.000506	-0.000152	0.000313	0.000966	-0.001388
9.703000	-0.000651	-0.000245	-0.000254	0.000195	-0.001553	-0.000029	-0.000627	-0.000911	0.000089	-0.000164	-0.000392	-0.000973
9.702300	-0.000985	-0.000795	-0.000178	-0.000719	-0.000993	-0.000092	-0.000565	-0.000233	-0.000030	-0.000018	0.000262	0.000153
9.701600	0.000558	-0.000326	0.000142	-0.000160	0.000408	-0.000106	-0.000981	0.000953	-0.000313	0.000134	-0.000823	-0.000436
9.700900	-0.000023	0.000476	0.000473	-0.000416	-0.000143	-0.000071	-0.000413	-0.000050	-0.000078	-0.000014	-0.001304	-0.000709
9.700200	-0.000591	-0.000283	-0.001193	0.000058	-0.000632	-0.000327	-0.000027	-0.000888	-0.001155	-0.000081	0.000046	-0.000899
9.699500	-0.001692	-0.000701	-0.000650	0.000744	0.000309	-0.000364	0.001274	-0.000715	0.000267	-0.000095	-0.000075	-0.000443
9.698800	-0.000842	-0.000835	0.001241	0.000402	0.000635	-0.000702	-0.000205	0.000237	0.000488	0.001296	-0.000786	-0.000465
9.698100	-0.000704	-0.000113	0.000302	0.000222	-0.000345	-0.000192	-0.000927	-0.000366	-0.000318	-0.000443	0.000100	0.000123
9.697400	-0.000321	-0.000292	-0.000788	0.000022	-0.000108	-0.000528	0.000290	-0.000832	-0.000281	-0.001517	0.000405	0.000791
9.696700	-0.000428	-0.000609	-0.000366	0.000039	0.000265	-0.000987	0.000676	-0.000514	0.000708	-0.000232	0.000485	-0.000134
9.696000	-0.000063	-0.000454	0.000130	-0.000469	-0.000054	-0.000499	0.000066	-0.000510	0.000930	0.000022	0.000283	-0.000319
9.695300	0.000130	-0.000010	-0.000659	-0.001166	0.000440	-0.000151	-0.000366	-0.000787	-0.001247	0.000224	0.000286	0.000083
9.694600	0.000100	0.000973	-0.001439	-0.000156	0.000275	-0.000640	-0.000168	-0.000464	-0.001237	-0.000051	-0.000059	-0.000545
9.693900	-0.000221	0.000627	-0.000712	0.000141	-0.000006	-0.000338	-0.000600	-0.000261	-0.000112	0.000010	-0.000495	0.000141
9.693200	0.001118	-0.000501	0.000151	0.000016	-0.000122	0.000534	0.000512	0.000175	0.000066	-0.000623	-0.000133	-0.000684
9.692500	0.000555	0.000670	0.000201	-0.000057	-0.000234	-0.000293	0.000026	0.000044	-0.000042	-0.000238	0.000079	-0.000087
9.691800	0.000041	0.000440	0.000909	-0.000294	-0.000925	0.000530	-0.000933	-0.000103	0.001569	-0.000540	0.000051	-0.000463
9.691100	-0.000651	-0.000411	0.001759	-0.000561	-0.000902	0.000491	0.000207	0.000061	0.000187	-0.000293	0.000003	0.000359
9.690400	-0.001677	-0.000271	-0.000583	0.000330	-0.000177	-0.000258	0.000420	0.000377	0.000032	-0.001338	0.000504	-0.000188
9.689700	-0.000049	0.000193	-0.001532	0.000032	-0.000352	-0.000620	-0.000215	0.000242	-0.000037	-0.001233	0.000469	-0.000266
