Collection ID	10825
Type	SpectraCollection
Description	48,VeVe,Rat,Urine (1)
Processing log	Standardized ppm range to 11.6:0.0007:-2.0. Set reference [0.030000,-0.030000]. Fix baseline (lambda: 200.000000). Cropped ranges: 9.8,0.14. Zeroed ranges: 6.01,5.54;5.0,4.72;4.01,3.92;3.86,3.82. Sum normalized to 1000.0.  Extracted residual after subtracting peaks for:  U6.837 (13), U6.824 (14).
Base sample ID	20509	20526	20539	20590	20592	20648	20690	20715	20819	20826	20837
Time	48	48	48	48	48	48	48	48	48	48	48
Classification	VeVe	VeVe	VeVe	VeVe	VeVe	VeVe	VeVe	VeVe	VeVe	VeVe	VeVe
Sample ID	Urine	Urine	Urine	Urine	Urine	Urine	Urine	Urine	Urine	Urine	Urine
Subject ID	20	21	19	24	22	23	44	46	47	45	43
Sample Description											
Weight											
Units of weight											
Species	Rat	Rat	Rat	Rat	Rat	Rat	Rat	Rat	Rat	Rat	Rat
X	Y1	Y2	Y3	Y4	Y5	Y6	Y7	Y8	Y9	Y10	Y11
9.754100	-0.001050	-0.000644	0.000366	0.000524	-0.000341	0.000279	-0.000347	-0.000848	0.000259	0.000468	-0.000056
9.753400	-0.000225	-0.000069	0.000170	-0.000729	0.000765	-0.000449	-0.000615	-0.000113	-0.000263	0.000555	-0.000085
9.752700	0.000299	-0.000237	0.000158	-0.000399	0.000422	-0.000557	-0.000106	-0.000014	-0.000449	-0.000284	0.000120
9.752000	-0.000231	0.000193	0.000003	-0.000367	0.000278	0.001092	-0.000803	-0.000047	-0.000936	0.000157	0.000621
9.751300	-0.000349	-0.000205	-0.000469	0.000153	-0.000428	-0.000134	-0.000241	-0.000257	-0.000397	-0.000277	0.000211
9.750600	0.000856	-0.000534	-0.000242	-0.000300	-0.000419	-0.000199	-0.000488	-0.000727	0.000225	-0.000162	-0.000119
9.749900	-0.000139	-0.000125	-0.000570	0.000193	-0.000612	0.000255	-0.000098	-0.000101	-0.000427	-0.000240	-0.000072
9.749200	-0.000174	0.000139	-0.000313	0.000305	0.000249	-0.000515	-0.000138	-0.000043	0.000030	0.000094	-0.000190
9.748500	-0.000217	-0.000542	-0.000457	-0.000048	-0.000343	-0.000491	-0.000238	0.000106	0.000033	-0.000210	-0.000958
9.747800	-0.000026	-0.000645	-0.000095	-0.000399	-0.000540	0.000043	0.000229	0.000259	-0.000168	-0.000471	-0.001026
9.747100	0.000110	-0.000454	0.000078	-0.000040	0.000277	0.000090	0.000746	-0.000203	-0.000224	-0.000762	-0.000111
9.746400	0.000109	-0.000124	-0.000346	0.000471	0.000528	0.000187	0.000750	-0.000141	-0.000327	-0.000521	-0.000245
9.745700	0.000066	-0.000017	-0.000447	0.000138	0.000814	0.000574	0.000285	0.000165	-0.000377	-0.000620	-0.000574
9.745000	0.000285	-0.000083	0.000032	-0.000167	0.000313	-0.000165	-0.000309	-0.000053	-0.000701	0.000157	-0.000276
9.744300	0.000067	-0.000111	0.000514	-0.000419	0.000504	0.000001	0.000006	-0.000054	-0.000416	0.000255	-0.000017
9.743600	0.000136	0.000417	0.000294	0.000107	0.000412	-0.000354	0.000347	0.000352	0.000206	0.000208	-0.000119
9.742900	-0.000159	0.000717	0.000350	-0.000228	-0.000714	-0.000517	0.000464	-0.000379	-0.000495	-0.000346	-0.000453
9.742200	-0.000188	0.000396	0.000218	0.000049	-0.000774	-0.000535	0.000492	-0.000556	-0.000008	-0.000651	-0.000530
9.741500	0.000266	0.000166	0.000298	-0.000166	-0.000827	-0.000457	0.000236	-0.000585	-0.000467	-0.000317	-0.000200
9.740800	0.000583	0.000666	0.000106	0.000079	-0.000500	-0.000050	0.000297	-0.000083	-0.000134	0.000564	0.000227
9.740100	-0.000232	0.001274	0.000201	0.000641	-0.000420	0.000011	0.000408	0.000077	0.000359	0.001173	0.000185
9.739400	-0.000227	0.000502	-0.000262	0.000272	-0.000399	0.000225	0.000390	0.000502	0.000954	0.000413	0.000175
9.738700	0.000405	0.001256	0.000057	0.000448	0.000734	0.000399	0.000325	0.000648	0.000557	0.000606	0.000108
9.738000	-0.000215	0.001118	0.000990	0.000483	0.000444	0.000993	-0.000017	0.000489	-0.000226	0.000911	-0.000116
9.737300	0.000372	0.000586	0.000808	0.001039	0.000286	0.000844	0.000506	0.000759	0.000435	0.000286	-0.000314
9.736600	0.000366	0.000642	0.000191	0.000859	0.000399	-0.000213	0.000126	0.000403	0.000862	0.000195	0.000832
9.735900	0.000498	0.000104	0.000244	0.000760	0.001001	0.000381	-0.000199	0.000406	0.001223	-0.000229	0.000589
9.735200	0.000431	0.000602	0.000381	0.000968	0.001267	0.000669	0.000338	0.000240	0.000707	0.000138	0.000838
9.734500	0.000184	-0.000088	0.000466	0.000910	0.001085	0.000612	-0.000534	0.000339	0.000432	0.000219	0.001059
9.733800	0.000415	0.000168	0.001281	0.000625	0.001134	0.001489	-0.000530	0.000853	0.000584	0.000433	0.000447
9.733100	0.000444	-0.000547	0.001249	0.000615	0.000948	0.001182	0.000200	0.000810	0.000038	0.000612	0.000846
9.732400	0.000631	0.000837	0.001014	0.000594	0.000282	0.000358	0.000202	0.000864	0.000425	0.000181	0.001133
9.731700	0.000554	0.000488	0.000424	0.000537	0.000237	0.000482	0.000782	0.000831	0.000521	0.000484	0.001067
9.731000	0.000742	0.000166	0.000832	0.000659	0.000186	0.001406	0.001526	0.000956	0.000023	0.000894	0.000772
